Final_Liquid Inlet-SIM,Final_Gas Inlet-SIM,Gas Outlet_16-SIM
0.005652791,0.017492711,0.001927202
0.005783411,0.017492711,0.002000516
0.005915258,0.017492711,0.002075031
0.006048349,0.017492711,0.002150714
0.006182701,0.017492711,0.002227538
0.006318333,0.017492711,0.002305477
0.006455263,0.017492711,0.002384506
0.00659351,0.017492711,0.002464604
0.006733092,0.017492711,0.002545751
0.006874029,0.017492711,0.002627929
0.007016341,0.017492711,0.002711122
0.007160049,0.017492711,0.002795314
0.007305172,0.017492711,0.002880494
0.007451733,0.017492711,0.002966649
0.007599751,0.017492711,0.00305377
0.00774925,0.017492711,0.003141847
0.007900251,0.017492711,0.003230873
0.008052778,0.017492711,0.003320841
0.008206853,0.017492711,0.003411747
0.0083625,0.017492711,0.003503585
0.00223,0.018950437,0.000466585
0.002330533,0.018950437,0.000487157
0.002431893,0.018950437,0.000508992
0.002534091,0.018950437,0.000532158
0.002637137,0.018950437,0.000556722
0.002741042,0.018950437,0.000582747
0.002845816,0.018950437,0.000610297
0.002951471,0.018950437,0.000639431
0.003058017,0.018950437,0.000670205
0.003165466,0.018950437,0.000702667
0.00327383,0.018950437,0.000736862
0.00338312,0.018950437,0.000772827
0.003493348,0.018950437,0.000810592
0.003604526,0.018950437,0.000850179
0.003716667,0.018950437,0.000891601
0.003829783,0.018950437,0.000934866
0.003943886,0.018950437,0.000979972
0.004058991,0.018950437,0.001026908
0.00417511,0.018950437,0.001075661
0.004292257,0.018950437,0.001126209
0.004410444,0.018950437,0.001178523
0.004529688,0.018950437,0.001232574
0.00465,0.018950437,0.001288325
0.004771396,0.018950437,0.00134574
0.004893891,0.018950437,0.001404777
0.0050175,0.018950437,0.001465397
0.005142237,0.018950437,0.001527558
0.005268119,0.018950437,0.001591217
0.005395161,0.018950437,0.001656334
0.00552338,0.018950437,0.001722869
0.005652791,0.018950437,0.001790782
0.005783411,0.018950437,0.001860037
0.005915258,0.018950437,0.001930596
0.006048349,0.018950437,0.002002427
0.006182701,0.018950437,0.002075496
0.006318333,0.018950437,0.002149775
0.006455263,0.018950437,0.002225234
0.00659351,0.018950437,0.002301847
0.006733092,0.018950437,0.002379591
0.006874029,0.018950437,0.002458442
0.007016341,0.018950437,0.00253838
0.007160049,0.018950437,0.002619387
0.007305172,0.018950437,0.002701444
0.007451733,0.018950437,0.002784537
0.007599751,0.018950437,0.002868652
0.00774925,0.018950437,0.002953775
0.007900251,0.018950437,0.003039896
0.008052778,0.018950437,0.003127004
0.008206853,0.018950437,0.003215091
0.0083625,0.018950437,0.003304149
0.00223,0.020408163,0.000466377
0.002330533,0.020408163,0.000484964
0.002431893,0.020408163,0.000504631
0.002534091,0.020408163,0.000525437
0.002637137,0.020408163,0.000547443
0.002741042,0.020408163,0.000570707
0.002845816,0.020408163,0.000595289
0.002951471,0.020408163,0.000621247
0.003058017,0.020408163,0.000648638
0.003165466,0.020408163,0.000677517
0.00327383,0.020408163,0.000707933
0.00338312,0.020408163,0.000739933
0.003493348,0.020408163,0.000773559
0.003604526,0.020408163,0.000808849
0.003716667,0.020408163,0.000845833
0.003829783,0.020408163,0.000884536
0.003943886,0.020408163,0.000924976
0.004058991,0.020408163,0.000967165
0.00417511,0.020408163,0.001011108
0.004292257,0.020408163,0.001056804
0.004410444,0.020408163,0.001104247
0.004529688,0.020408163,0.001153423
0.00465,0.020408163,0.001204315
0.004771396,0.020408163,0.001256901
0.004893891,0.020408163,0.001311154
0.0050175,0.020408163,0.001367047
0.005142237,0.020408163,0.001424548
0.005268119,0.020408163,0.001483622
0.005395161,0.020408163,0.001544237
0.00552338,0.020408163,0.001606356
0.005652791,0.020408163,0.001669944
0.005783411,0.020408163,0.001734965
0.005915258,0.020408163,0.001801386
0.006048349,0.020408163,0.00186917
0.006182701,0.020408163,0.001938287
0.006318333,0.020408163,0.002008703
0.006455263,0.020408163,0.002080389
0.00659351,0.020408163,0.002153316
0.006733092,0.020408163,0.002227457
0.006874029,0.020408163,0.002302785
0.007016341,0.020408163,0.002379277
0.007160049,0.020408163,0.002456911
0.007305172,0.020408163,0.002535666
0.007451733,0.020408163,0.002615523
0.007599751,0.020408163,0.002696463
0.00774925,0.020408163,0.002778471
0.007900251,0.020408163,0.002861532
0.008052778,0.020408163,0.002945633
0.008206853,0.020408163,0.003030762
0.0083625,0.020408163,0.003116907
0.00223,0.021865889,0.000468937
0.002330533,0.021865889,0.00048593
0.002431893,0.021865889,0.000503856
0.002534091,0.021865889,0.000522766
0.002637137,0.021865889,0.000542712
0.002741042,0.021865889,0.000563748
0.002845816,0.021865889,0.000585927
0.002951471,0.021865889,0.000609304
0.003058017,0.021865889,0.000633931
0.003165466,0.021865889,0.000659862
0.00327383,0.021865889,0.000687147
0.00338312,0.021865889,0.000715837
0.003493348,0.021865889,0.000745978
0.003604526,0.021865889,0.000777615
0.003716667,0.021865889,0.000810786
0.003829783,0.021865889,0.000845528
0.003943886,0.021865889,0.000881872
0.004058991,0.021865889,0.000919844
0.00417511,0.021865889,0.000959465
0.004292257,0.021865889,0.001000751
